id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
10256,2082,2016-07-19,HEALTH AND FAMILY WELFARE,High Treatment cost of Diseases,,240/29,USQ 267,
10257,2082,2016-07-19,HEALTH AND FAMILY WELFARE,Health insurance scheme for economically weaker people,,240/27,USQ 246,
10258,2082,2016-03-01,FINANCE,Tax Collection Through TDS,,238/48,USQ 47,
10259,2082,2016-02-25,SOCIAL JUSTICE AND EMPOWERMENT,Plan to overcome the problems of begging,,238/28,USQ 277,
10260,2082,2015-12-08,FINANCE,Implementation of recommendations of seventh pay commission,,237/92,USQ 1012,
10261,2082,2015-12-02,HOME AFFAIRS,Unmanned Aerial Vehicle over IGI airports,,237/35,USQ 380,
10262,2082,2015-07-30,HOUSING AND URBAN POVERTY ALLEVIATION,Skill Training for urban poor,,236/83,USQ 1187,
10263,2082,2015-07-27,HUMAN RESOURCE DEVELOPMENT,Proposal on new Education Policy,,236/57,USQ 707,
10264,2082,2015-05-07,Planning,Scheme for promoting self-employment,,235/97,USQ 1318,
10265,2082,2015-04-30,URBAN DEVELOPMENT,Discussions for Smart Cities,,235/64,USQ 880,
10266,2082,2015-03-03,CHEMICALS AND FERTILIZERS,Low priced  Medicines for poor patients,,234/81,USQ 917,
10267,2082,2015-02-25,HOME AFFAIRS,Human Trafficking through Airways,,234/20,USQ 213,
10268,2082,2014-07-11,SOCIAL JUSTICE AND EMPOWERMENT,Rape of a minor girl in bokaro in Jharkhand on the direction of a social panchayat,,232/83,,
10269,2082,2014-07-09,HOME AFFAIRS,Progress made in Nirbhaya  Project,,232/61,USQ 306,
10270,2082,2014-07-08,FINANCE,Constitution of SIT on black money,,232/39,SQ 33,
10271,2082,2013-12-11,DEFENCE,Irregularities in army welfare housing organization projects in Kochi,,230/38,USQ 653,"Arvind Kumar Singh, KUSUM RAI"
10272,2082,2013-08-14,HOME AFFAIRS,Restoring infrastructure in Uttarakhand,,229/81,USQ 983,
10273,2082,2013-08-07,DEFENCE,Non-Utilisation of Five Year Plan,,229/24,USQ 356,
10274,2082,2013-02-26,FINANCE,White Paper on Black Money,,228/13,USQ 188,
10275,2082,2012-11-27,PETROLEUM AND NATURAL GAS,Restriction on subsidized LPG cylinders,,227/63,USQ 561,"Arvind Kumar Singh, KUSUM RAI"
10276,2082,2012-08-21,HEALTH AND FAMILY WELFARE,Urban Health Mission,,226/87,USQ 1015,
10277,2082,2012-08-13,INFORMATION AND BROADCASTING,Misleading advertisements on processed food products,,226/33,USQ 394,
10278,2082,2012-03-21,DEFENCE,Illegal trnsfer of Defence Land  in Jodhpur,,225/85,USQ 809,
10279,2082,2012-03-19,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Loss due to import of pulses,,225/44,SQ 74,
10280,2082,2012-03-14,URBAN DEVELOPMENT,Payment to M/s MG-EMMR at increased rate for games village flats,,225/29,USQ 299,
10281,2082,2011-12-05,COAL,Coal Linkages VIS-A-VIS Power generation,,224/93,USQ 1400,
10282,2082,2011-08-04,CIVIL AVIATION,pilots quiting AIR India,,223/85,USQ 482,KUSUM RAI
10283,2082,2011-02-23,LABOUR AND EMPLOYMENT,Pending schems for Beedi Workers of M.P.,,222/27,USQ 283,
10284,2082,2010-11-16,FINANCE,Review of working of MFIs,,221/59,SQ 117,
10285,2082,2010-07-30,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",National Food Security Law,,220/56,USQ 598,
10286,2082,2010-03-10,LABOUR AND EMPLOYMENT,Gainful employment for skilled labourers,,219/96,SQ 193,
10287,2082,2010-03-08,MINORITY AFFAIRS,National Commission for Minorities and Equal Opportunity Commission,,219/59,USQ 1156,
10288,2082,2010-02-24,HOME AFFAIRS,Retaliatory Military Action to Mumbai Type Attack,,219/11,USQ 183,
10289,2082,2009-11-23,CORPORATE AFFAIRS,Progress of investigation in Satyam Scam,,218/62,USQ 296,BALWANT ALIAS BAL APTE
10290,2082,2009-11-20,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Food Security Act,,218/47,USQ 196,
10291,2082,2009-11-20,AGRICULTURE,Apprehension of irregular rains in 2010 due to El-Nino effect,,218/35,USQ 146,
10292,2082,2009-11-24,FINANCE,Compensation paid by insurance companies,,218/19,USQ 487,BALWANT ALIAS BAL APTE
10293,2082,2009-11-19,HOUSING & URBAN POVERTY ALLEVIATION,Standards for residential projects in Metro Cities,,218/11,USQ 104,
10294,2082,2009-07-10,RAILWAYS,unused railway land,,217/90,USQ 849,BALWANT ALIAS BAL APTE
10295,2082,2009-07-07,HUMAN RESOURCE DEVELOPMENT,objectives of mid-day meal scheme,,217/36,USQ 356,
10296,2082,2008-10-20,HUMAN RESOURCE DEVELOPMENT,Arbitrary fees by private educational institutions,,214/6,SQ 31,
10297,2083,2014-02-21,RAILWAYS,Railway Projects in Madhya Pradesh.,,230/235,USQ 3071,
10298,2083,2014-02-05,DEFENCE,Promtoion policy for women officers,,230/171,USQ 1577,Shadi LalBatra
10299,2083,2014-02-05,YOUTH AFFAIRS & SPORTS,Setting up of Khel Grams in Rural Areas,,230/169,SQ 216,
10300,2083,2013-08-27,FINANCE,pending tax dues on aviation companies,,229/152,USQ 1898,
10301,2083,2013-03-19,"Environment, Forests  & Climate Change",Schemes under Forest Conservation Act for Madhya Pradesh,,228/158,USQ 2349,
10302,2083,2012-12-14,COMMUNICATIONS & INFORMATION TECHNOLOGY,Telephone exchanges,,227/304,USQ 2407,
10303,2083,2012-11-26,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",wheat and paddy procurement,,227/250,USQ 337,
10304,2083,2012-12-19,LABOUR AND EMPLOYMENT,amount of EPFO invested in private sector,,227/231,USQ 2912,
10305,2083,2012-12-12,HOME AFFAIRS,"Crimes agqainst SC,ST and North East women",,227/194,USQ 2105,
10306,2083,2012-12-11,ROAD TRANSPORT AND HIGHWAYS,RFID based toll collection system,,227/177,USQ 2002,
10307,2083,2012-12-07,COMMUNICATIONS & INFORMATION TECHNOLOGY,Computer facilities in post offices,,227/143,SQ 209,
10308,2083,2012-05-03,NITI AYOG,"BPL list by March, 2012",,225/313,USQ 3014,
10309,2083,2012-04-27,RAILWAYS,Irregularities into dedicated  freight corridor project,,225/274,USQ 2622,
10310,2083,2012-03-29,SOCIAL JUSTICE AND EMPOWERMENT,Status of implementation of SC Sub plan in Union Budget,,225/173,USQ 1817,
10311,2083,2011-12-05,POWER,Status of proposals from Madhya Pradesh,,224/101,USQ 1508,PRABHAT JHA
10312,2083,2011-08-08,WATER RESOURCES,Declaration of Major irrigation projects as National projects,,223/147,USQ 916,
10313,2083,2010-11-19,CHEMICALS AND FERTILIZERS,Availability of rakes for transportation of fertilizers,,221/336,USQ 1097,
10314,2083,2009-12-16,COMMERCE AND INDUSTRY,Land allotted to cement comapnies in M.P.,,218/306,USQ 2954,
10315,2083,2009-12-14,POWER,RGGVY in Madhya Pradesh,,218/285,USQ 2732,
10316,2083,2009-12-11,STEEL,Setting up of steel plant in Ujjain,,218/271,USQ 2613,
10317,2083,2009-12-07,POWER,Power allocation from Gadarwada Thermal Power Project,,218/213,USQ 1958,
10318,2083,2009-11-27,RAILWAYS,Damage to railway property,,218/118,USQ 1029,
10319,2083,2009-07-30,SOCIAL JUSTICE AND EMPOWERMENT,Funds for scholarship,,217/416,USQ 2966,
10320,2083,2012-03-21,TEXTILES,pending  applications under TWRFS,,225/94,USQ 903,
10321,2083,2011-12-02,COMMUNICATIONS & INFORMATION TECHNOLOGY,Missing files related to Telecommunications sector,,224/81,USQ 1293,
10322,2083,2011-08-04,CIVIL AVIATION,Panna AIR Strip in Madhya Pradesh,,223/96,USQ 497,
10323,2083,2010-11-10,COMMERCE AND INDUSTRY,Schemes to boost Commerce and Industry,,221/16,USQ 181,
10324,2084,2011-03-15,HEALTH AND FAMILY WELFARE,Ill effects of using kerosence lamps,,222/190,USQ 2091,
10325,2084,2010-08-11,HOME AFFAIRS,Criminal cases against serving IPS Officers,,220/171,USQ 1902,
10326,2084,2010-04-20,FINANCE,GST for tobacco product,,219/217,USQ 2621,
10327,2084,2010-03-12,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Legislation on right to food,,219/175,USQ 1736,
10328,2084,2009-07-31,RAILWAYS,Rail link between Shillong and Byrnihat,,217/439,USQ 3157,
10329,2084,2009-07-31,RAILWAYS,Rail connectivity in Assam,,217/426,SQ 418,
10330,2084,2008-10-17,RAILWAYS,extension of rail line to Garo Hills,,214/237,USQ 136,
10331,2084,2010-03-05,HUMAN RESOURCE DEVELOPMENT,Quality of education in foreign university centres,,219/73,SQ 125,
10332,2085,2009-12-07,LAW  AND JUSTICE,Disclosure of wealth by judges,,218/204,USQ 1920,"M.V.MYSURA REDDY, PENUMMALLI MADHU"
10333,2085,2009-12-04,HUMAN RESOURCE DEVELOPMENT,Upgradation of universities to international standard,,218/184,USQ 1760,"M.V.MYSURA REDDY, PENUMMALLI MADHU"
10334,2085,2009-12-04,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Strengthening of forward market commission,,218/180,USQ 1733,"M.V.MYSURA REDDY, PENUMMALLI MADHU"
10335,2085,2009-11-30,HUMAN RESOURCE DEVELOPMENT,Proposed entry of foreign universities,,218/116,USQ 1003,"M.V.MYSURA REDDY, PENUMMALLI MADHU"
10336,2085,2009-07-08,COMMERCE AND INDUSTRY,Mechanism to chek GM Food Products in India,,217/516,SQ 80,
10337,2085,2009-07-07,HUMAN RESOURCE DEVELOPMENT,Recommendations of Yashpal Committee,,217/515,USQ 382,"M.V.MYSURA REDDY, N.K. SINGH"
10338,2085,2009-07-28,HUMAN RESOURCE DEVELOPMENT,Govardhan Mehta Pay Review Committee,,217/380,USQ 2677,M.V.MYSURA REDDY
10339,2085,2009-07-03,HEALTH AND FAMILY WELFARE,Pictorial warning on cigarette packets,,217/197,USQ 219,M.V.MYSURA REDDY
10340,2531,2024-12-20,ELECTRONICS AND INFORMATION TECHNOLOGY,FORMULATION OF RULES UNDER DPDP ACT,,266/34,USQ 2942,Haris Beeran
10341,2531,2024-12-19,"Environment, Forests  & Climate Change",ELEPHANTS CONSERVATION,,266/29,USQ 2763,
10342,2531,2024-08-07,Education,Scam in the NEET Exam,,265/85,USQ 1786,
10343,2531,2024-08-02,AGRICULTURE AND FARMERS WELFARE,,,265/21,SQ 124,
10344,2531,2023-08-11,Communications,Draft Indian Telecommunication Bill 2022,,260/44,USQ 2607,Pramod Tiwari
10345,2531,2023-08-03,CULTURE,MISSING ANTIQUES OF J&k,,260/31,USQ 1612,AmeeYajnik
10346,2531,2023-03-22,ROAD TRANSPORT AND HIGHWAYS,Unscientific road construction in Uttarakhand,,259/56,USQ 2485,
10347,2531,2022-12-19,COAL,Underutilisation of Coal Mines in the Country,,258/91,SQ 124,
10348,2531,2024-12-06,ELECTRONICS AND INFORMATION TECHNOLOGY,STATUS OF IMPLEMENTATION OF DPDP ACT,,266/9,USQ 1352,Haris Beeran
10349,2086,2011-11-24,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Cases with Goa Unit of CBI,,224/241,USQ 380,
10350,2086,2011-08-29,LAW  AND JUSTICE,PILs in Supreme Court,,223/349,USQ 2859,
10351,2086,2011-03-15,FINANCE,unearthing of black money stashed abroad,,222/194,USQ 2040,
10352,2086,2010-04-19,INFORMATION AND BROADCASTING,Committee to study paid news syndrome,,219/207,USQ 2510,
10353,2086,2009-11-25,HOME AFFAIRS,Assets to Himachal Pradesh under Punjab Reorganisation Act,,218/90,USQ 674,
10354,2532,2024-07-22,COAL,First Mile Connectivity projects,,265/80,USQ 55,"Deepak Prakash, Krishan Lal Panwar, Sumer Singh Solanki"
10355,2532,2023-12-21,SPACE,PRIVATE SECTOR PARTICIPATION IN SPACE INDUSTRY,,262/49,USQ 2216,
10356,760,1989-03-14,DEFENCE,Explanation sought from Bofors regarding payments in Howitzer gun Deal,,149/2,USQ 2134,
10357,2087,2011-09-07,COMMERCE AND INDUSTRY,Border trade from north-eastern states,,223/425,USQ 3733,
10358,2533,2025-02-03,CIVIL AVIATION,AERO-MANUFACTURING ECOSYSTEMS IN THE COUNTRY,,267/159,USQ 10,
10359,2533,2025-12-01,CIVIL AVIATION,STATUS OF IMPLEMENTATION OF DIGIYATRA,,269/26,USQ 36,
10360,2088,2012-03-20,HEALTH AND FAMILY WELFARE,NRHM scam in U.P.,,225/200,USQ 695,D. RAJA
10361,2088,2011-11-22,HEALTH AND FAMILY WELFARE,Detection of insecticidal protein in human blood,,224/228,USQ 103,
10362,2088,2011-11-22,FINANCE,Aims and objectives of Microfinance (Development and Regulatory Authority) Bills,,224/223,USQ 57,RasheedMasood
10363,2088,2011-12-19,POWER,Revision of capacity addition target by NTPC,,224/198,USQ 2917,
10364,2088,2011-12-16,RAILWAYS,Fire incident in Howrah-Dehradun,,224/157,USQ 2746,BHARATSINH PRABHATSINH PARMAR
10365,2088,2011-09-05,LAW  AND JUSTICE,Vacancies in Supreme Court,,223/405,USQ 3494,
10366,2088,2011-08-26,RAILWAYS,Offer of stalls to Unemployed,,223/342,USQ 2751,
10367,2088,2011-08-26,CHEMICALS AND FERTILIZERS,Fertilizers unit at Haldia and Durgapur,,223/334,USQ 2664,
10368,2088,2011-08-25,CIVIL AVIATION,Turnaround Plan for Air India,,223/315,USQ 2499,
10369,2088,2011-08-23,HEALTH AND FAMILY WELFARE,Invitations from Bill gates foundation on Medical Research,,223/293,USQ 2262,
10370,2088,2011-08-11,CIVIL AVIATION,Turn around plan for Air India,,223/182,USQ 1289,
10371,2088,2011-08-04,NITI AYOG,Alternhatives to  and &quot;NO GO&quot; areas,,223/110,USQ 607,
10372,2088,2010-11-11,COMMUNICATIONS & INFORMATION TECHNOLOGY,Under valuation of 2G Spectrum,,221/330,USQ 344,
10373,2088,2010-12-10,AGRICULTURE,Central Assistance to drought affected areas,,221/300,USQ 3432,
10374,2088,2010-12-10,RAILWAYS,Porters in Railways,,221/298,SQ 453,
10375,2088,2010-11-26,CHEMICALS AND FERTILIZERS,Diversion of fertilizers meant for farmers,,221/167,USQ 1902,
10376,2088,2010-11-18,WATER RESOURCES,Hydel Projects in Brahmaputra,,221/103,USQ 1068,
10377,2088,2010-08-17,HEALTH AND FAMILY WELFARE,MCI's Vision Document,,220/324,USQ 2504,
10378,2088,2010-08-04,HOME AFFAIRS,Amendment to Communal Violence Bill,,220/310,USQ 1115,
10379,2088,2010-08-20,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Inclusion of APL families under food security bill,,220/257,USQ 2942,
10380,2088,2010-08-17,HEALTH AND FAMILY WELFARE,Bachelor of Rural Health Care course,,220/203,USQ 2518,
10381,2088,2010-08-02,POWER,Rural Electrification,,220/153,USQ 842,
10382,2088,2010-08-06,CHEMICALS AND FERTILIZERS,Price Control for all essential medicines,,220/100,USQ 1364,D. RAJA
10383,2088,2010-05-04,RURAL DEVELOPMENT,Fresh survey for BPL families,,219/333,USQ 4286,
10384,2088,2010-05-03,LAW  AND JUSTICE,Legal advice by heads of tribunals,,219/309,USQ 4077,
10385,2088,2010-03-16,PETROLEUM AND NATURAL GAS,Supply of Ethanolto OMCs,,219/149,USQ 2088,
10386,2088,2010-03-12,RAILWAYS,Applications from All India Railway Catering Licensees Welfare Association,,219/126,USQ 1808,ALI ANWAR ANSARI
10387,2088,2009-12-21,LAW  AND JUSTICE,Restriction on regional parties to contest elections,,218/346,USQ 3482,M.V.MYSURA REDDY
10388,2088,2009-12-18,HUMAN RESOURCE DEVELOPMENT,Model colleges in educationally backward districts,,218/333,USQ 3310,
10389,2088,2009-12-02,ROAD TRANSPORT AND HIGHWAYS,Proposal for extending NH in Burdwan district of West Bengal,,218/164,USQ 1394,
10390,2088,2009-12-03,SPACE,Second moon mission,,218/161,USQ 1629,
10391,2088,2009-08-04,HUMAN RESOURCE DEVELOPMENT,Replacing marks with grades as evaluation,,217/472,USQ 3441,
10392,2088,2009-07-31,RAILWAYS,Patent of anti collision device,,217/437,USQ 3146,
10393,2088,2009-07-31,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",BPL cardholders,,217/428,USQ 3074,
10394,2088,2009-07-24,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Implementation of National Food Security Act,,217/346,USQ 2323,
10395,2088,2009-07-21,CIVIL AVIATION,Imposition of user charges on air passengers,,217/274,USQ 1805,
10396,2088,2009-07-14,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,recommendation of BRPSE for burns standard,,217/148,USQ 1087,
10397,2088,2008-12-23,PETROLEUM AND NATURAL GAS,windfall profits of private oil companies,,214/216,USQ 2431,D. RAJA
10398,2088,2012-03-21,LABOUR AND EMPLOYMENT,Demand for minimum pension,,225/91,USQ 879,M.P. Achuthan
10399,2088,2011-11-23,LABOUR AND EMPLOYMENT,Proposal to amend Minimum Wages Act,,224/16,USQ 275,
10400,2088,2011-02-22,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Progress of revival of sick PSUs in West Bengal,,222/13,USQ 105,
10401,2088,2010-11-18,COMMUNICATIONS & INFORMATION TECHNOLOGY,Unsolicited calls and SMSs,,221/95,USQ 962,
10402,2088,2010-11-10,HOME AFFAIRS,Communal harmony justice and reparation commission,,221/23,USQ 211,
10403,2088,2010-02-25,NITI AYOG,Rural poor in country,,219/27,USQ 389,
10404,2088,2010-02-24,LABOUR AND EMPLOYMENT,Inclusion of NREGA workers under RSBY,,219/18,USQ 238,
10405,2088,2010-02-24,LABOUR AND EMPLOYMENT,Amendments to Minimum Wages Act,,219/17,USQ 237,
10406,2088,2009-11-23,CORPORATE AFFAIRS,VEPA Kamesam Committee Report,,218/61,USQ 295,
10407,2088,2009-07-08,COMMERCE AND INDUSTRY,FTA with Asean countries,,217/54,USQ 448,
10408,2088,2009-02-24,CORPORATE AFFAIRS,findings of investigations into the Satyam fraud,,215/61,USQ 746,
10409,2088,2008-10-24,STEEL,Claims of the SAIL  over the leaseholds on Chiria Iron Ore Mines,,214/80,USQ 929,
10410,2088,2008-10-22,TEXTILES,revival of NJMC mills,,214/65,USQ 618,
10411,2088,2010-07-26,COAL,Blast at Anjan Hills Coal Mines in Koriya,,220/7,USQ 11,
10412,2088,2009-11-19,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Amendment in RTI Act,,218/7,USQ 69,
10413,2535,2025-02-03,POWER,INCREASING CAPACITY OF POWER GENERATION IN TAMIL NADU,,267/164,USQ 105,
10414,2535,2024-07-30,FINANCE,Seizure of smuggled gold at airports and seaports,,265/50,SQ 84,
10415,2535,2024-08-05,COAL,Filling up of vacant posts in the Ministry,,265/24,USQ 1477,
10416,2535,2023-08-01,POWER,SURPLUS POWER GENERATION IN VARIOUS STATES,,260/79,SQ 124,
10417,2535,2023-03-20,CIVIL AVIATION,"Construction of greenfield airport in Parandur, Tamil Nadu",,259/48,USQ 2108,
10418,2092,2012-08-27,LAW  AND JUSTICE,,,226/149,USQ 1641,
10419,2536,2025-12-08,Housing and Urban Affairs,STATUS OF PROJECTS UNDER SMART CITIES MISSION,,269/55,USQ 877,
10420,2536,2025-12-03,TRIBAL AFFAIRS,INCLUSION OF CASTES IN THE LIST OF STs,,269/40,USQ 464,
10421,2536,2025-12-02,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",STORAGE CAPACITY OF FCI,,269/35,USQ 205,
10422,2536,2025-07-22,CHEMICALS AND FERTILIZERS,Main objectives of the Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),,268/51,USQ 176,
10423,2536,2024-12-19,"Environment, Forests  & Climate Change",HUMAN-ANIMAL CONFLICT,,266/30,USQ 2761,
10424,2536,2024-08-07,Education,Functioning of Auroville Foundation,,265/84,USQ 1788,
10425,2536,2024-07-22,CIVIL AVIATION,Digi Yatra App,,265/58,USQ 16,
10426,2536,2023-12-14,"Environment, Forests  & Climate Change",Pollution by major industries,,262/22,USQ 1318,
10427,2536,2023-12-05,POWER,Losses in TANGEDCO,,262/7,USQ 320,
10428,2093,2012-08-29,LABOUR AND EMPLOYMENT,Social Security to Landless agricultural labourers,,226/168,USQ 1962,
10429,2093,2011-08-16,PETROLEUM AND NATURAL GAS,Limiting supply of LPG cylinders for cooking purposes,,223/456,USQ 1670,
10430,2093,2011-03-04,COMMUNICATIONS & INFORMATION TECHNOLOGY,2G Spectrum Allocation,,222/227,SQ 139,
10431,2093,2011-03-14,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Reducing consumer court fee,,222/185,USQ 1901,
10432,2093,2010-08-17,ENVIRONMENT AND FORESTS,Oil Spill due to collision of ships,,220/248,SQ 3,
10433,2093,2010-05-03,POWER,Demand side managment of power,,219/316,USQ 4103,
10434,2093,2009-08-04,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Road map for disinvestment of PSEs,,217/470,USQ 3426,
10435,2093,2009-07-24,CHEMICALS AND FERTILIZERS,Direct benefits of subsidy to farmers,,217/339,USQ 2289,
10436,2093,2009-07-21,NITI AYOG,Special economic package for Bihar,,217/280,USQ 1858,
10437,2093,2013-12-11,DEFENCE,Chargesheet file in Augusta Westland Helicopter Deal,,230/43,USQ 669,
10438,2093,2011-02-24,YOUTH AFFAIRS & SPORTS,Erring IOA officials in CWG.,,222/45,USQ 465,
10439,2093,2010-03-09,CIVIL AVIATION,Foreign pilots,,219/90,SQ 1209,
10440,2093,2010-03-05,RAILWAYS,Monorail projects for Patna,,219/84,USQ 1026,
10441,2093,2010-03-08,INFORMATION AND BROADCASTING,Extension of third phase of FM,,219/57,USQ 1129,
10442,2093,2011-02-22,ENVIRONMENT AND FORESTS,Non-functioning of National Green Tribunal,,222/5,SQ 5,
10443,2093,2010-02-23,CIVIL AVIATION,Collapse of Air Traffic Radar at Delhi Airport,,219/1,USQ 1,
10444,1654,1996-02-28,HOME AFFAIRS,Donations received by Public and Private Institutions,,176/10,USQ 178,
10445,1654,1995-11-30,URBAN DEVELOPMENT,Govt. flats occupied by publicmen,,175/17,USQ 439,
10446,1654,1994-05-13,SOCIAL JUSTICE AND EMPOWERMENT,Recommendations of Minorities Commission.,,170/28,USQ 7287,
10447,1654,1994-03-18,HUMAN RESOURCE DEVELOPMENT,Jafri Committee Report on Promotion of Urdu,,170/10,USQ 3381,
10448,1654,1993-08-06,SOCIAL JUSTICE AND EMPOWERMENT,Recommendations of Minorities Commission.,,168/9,USQ 1732,
10449,1654,1992-07-17,HUMAN RESOURCE DEVELOPMENT,Jafri Committee recommendations,,164/7,USQ 911,
10450,1654,1991-12-06,HUMAN RESOURCE DEVELOPMENT,Jafari committee for promotion of Urdu,,161/5,USQ 1556,
10451,2094,2011-03-10,SOCIAL JUSTICE AND EMPOWERMENT,Report on NCEBC,,222/158,USQ 1665,
10452,2094,2010-12-07,PETROLEUM AND NATURAL GAS,Shortage of LPG cylinders in NER,,221/271,USQ 3069,
10453,2094,2010-11-26,RAILWAYS,Dimapur-Kohima rail link,,221/177,USQ 2003,
10454,2094,2009-12-21,HOME AFFAIRS,Application of Central Acts in Nagaland,,218/344,USQ 3475,
10455,2094,2008-12-22,LAW  AND JUSTICE,bicameral legislature in Nagaland,,214/199,USQ 2230,
10456,2094,2008-10-23,URBAN DEVELOPMENT,projects under JNNURM in Nagland,,214/84,SQ 92,
10457,270,2003-12-23,FINANCE AND COMPANY AFFAIRS,Payment of interest by investors of UTI,,200/191,USQ 2231,
10458,270,2003-12-15,HEALTH AND FAMILY WELFARE,Task force on health tourism,,200/107,USQ 1276,
10459,270,2003-08-22,HUMAN RESOURCE DEVELOPMENT,Amendment in Immoral Traffic (Prevention) Act,,199/201,USQ 3250,
10460,270,2003-08-05,FINANCE AND COMPANY AFFAIRS,Outstanding income tax and central excise duties,,199/111,USQ 1713,
10461,270,2003-04-21,HEALTH AND FAMILY WELFARE,Family welfare Schemes in Rajasthan,,198/360,USQ 3157,
10462,270,2003-03-13,COMMUNICATIONS & INFORMATION TECHNOLOGY,Telephone facilities in Rajasthan villages,,198/309,SQ 322,
10463,270,2003-03-11,PETROLEUM AND NATURAL GAS,Subsidy on LPG cylinder,,198/230,SQ 281,
10464,270,2003-03-03,LAW  AND JUSTICE,Recommendation of Delimitation Commission on Rajasthan,,198/135,USQ 1187,
10465,270,2002-12-18,HOME AFFAIRS,Terming murder as suicide by Delhi Police,,197/428,USQ 2931,SANTOSH BAGRODIA
10466,270,2002-12-16,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Promotion of Executive Engineers in CPWD,,197/280,USQ 2655,
10467,270,2002-12-09,HEALTH AND FAMILY WELFARE,Review of PFA Act,,197/181,USQ 1830,
10468,270,2002-12-04,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Ranking of India in corruption,,197/160,USQ 1535,Rajeev Shukla
10469,270,2002-12-03,TOURISM AND CULTURE,Tourism projects for Rajasthan,,197/157,USQ 1480,
10470,270,2002-08-06,FINANCE AND COMPANY AFFAIRS,DRF for backward districts,,196/293,USQ 2122,
10471,270,2002-08-06,PETROLEUM AND NATURAL GAS,Entry of GAIL in LPG retailing,,196/273,USQ 2190,
10472,270,2002-07-23,CIVIL AVIATION,Upgradation of Jaipur Airport,,196/180,USQ 611,
10473,270,2003-12-10,POWER,Disputes in Hydro power projects of Rajasthan and NESs,,200/81,USQ 885,
10474,270,2003-12-08,LAW  AND JUSTICE,Competition Commission,,200/62,SQ 603,
10475,270,2003-08-01,RAILWAYS,VRS in Railways,,199/80,SQ 189,
10476,270,2003-07-28,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Tender Mafia in DDA,,199/51,USQ 855,
10477,270,2003-07-23,SOCIAL JUSTICE AND EMPOWERMENT,Reservation for economically weaker sections,,199/23,USQ 308,
10478,270,2003-02-21,AGRICULTURE,Drought assistance to Rajasthan,,198/34,USQ 330,
10479,270,2002-11-27,HOME AFFAIRS,Proposal for amending Human Rights Act,,197/87,USQ 795,Rajeev Shukla
10480,270,2002-11-22,HUMAN RESOURCE DEVELOPMENT,Hike in tuition fees in Kendriya Vidyalayas,,197/36,SQ 79,
10481,270,2002-07-22,HEALTH AND FAMILY WELFARE,CGHS network in Delhi,,196/28,USQ 469,B J PANDA
10482,1655,2000-03-02,PETROLEUM AND NATURAL GAS,Identification of new areas for oil exploration,,189/345,USQ 850,
10483,1655,1998-12-10,AGRICULTURE,Flood relief to Andhra Pradesh.,,185/107,USQ 1251,
10484,1655,2000-03-06,COMMERCE AND INDUSTRY,Extension of Transport Subsidy Scheme,,189/52,USQ 1091,
10485,1655,1999-12-21,LAW  AND JUSTICE,Recommendations of the National Judicial Pay Commission,,188/34,USQ 2087,
10486,1655,1998-12-11,HUMAN RESOURCE DEVELOPMENT,UN concern on womens empowerment,,185/28,USQ 1507,
10487,1655,1997-08-06,DEFENCE,Pilferage of titanium  imported for ISRO,,181/12,USQ 1598,ALLADI P. RAJKUMAR
10488,1655,1998-07-24,ENVIRONMENT AND FORESTS,Losses due to forest fires,,184/4,USQ 4156,
10489,766,2007-09-06,"PORTS, SHIPPING AND WATERWAYS",recommendtions on port security,,211/221,USQ 2576,
10490,766,1997-11-27,ATOMIC ENERGY,Autonomy to atomic energy regulatory Board.,,182/12,USQ 931,
10491,766,1997-11-20,STATISTICS AND PROGRAMME IMPLEMENTATION,Non-implementation of Central Developmental schemes in Jharkhand.,,182/11,USQ 261,
10492,766,1996-09-02,TRIBAL AFFAIRS,Kurmi caste in Jharkhand within ST category.,,178/17,USQ 2787,
10493,766,1996-08-26,SOCIAL JUSTICE AND EMPOWERMENT,Inclusion of Puran community in the ST list.,,178/15,USQ 2096,
